item_id,properties
5101,Satellite TV|Golf Course|Airport Shuttle|Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Sitting Area (Rooms)|Reception (24/7)|Air Conditioning|Hypoallergenic Rooms|Cable TV|Hotel Bar|Pool Table|Bathtub|Satisfactory Rating|Room Service|Luxury Hotel|Terrace (Hotel)|Television|Minigolf|Business Hotel|Shower|Cot|Gym|Hairdryer|Hypoallergenic Bedding|Accessible Parking|From 3 Stars|Good Rating|Radio|4 Star|From 4 Stars|Family Friendly|Desk|Tennis Court (Indoor)|Balcony|WiFi (Public Areas)|Openable Windows|Express Check-In / Check-Out|Restaurant|Laundry Service|Ironing Board|Tennis Court|From 2 Stars|Business Centre|Bowling|Conference Rooms|Electric Kettle|Accessible Hotel|Porter|Bike Rental|Non-Smoking Rooms|Car Park|Safe (Rooms)|Fitness|Fan|Flatscreen TV|Computer with Internet|WiFi (Rooms)|Lift|Central Heating
5416,Satellite TV|Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Sitting Area (Rooms)|Reception (24/7)|Wheelchair Accessible|Hypoallergenic Rooms|Hotel Bar|Bathtub|Satisfactory Rating|Luxury Hotel|Terrace (Hotel)|Very Good Rating|Television|Business Hotel|Shower|Cot|Hairdryer|From 3 Stars|Good Rating|Radio|4 Star|From 4 Stars|Family Friendly|Desk|WiFi (Public Areas)|Openable Windows|Spa (Wellness Facility)|Laundry Service|Free WiFi (Combined)|From 2 Stars|Conference Rooms|Sauna|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Car Park|Flatscreen TV|Excellent Rating|Computer with Internet|Pet Friendly|WiFi (Rooms)|Free WiFi (Public Areas)|Lift
5834,Satellite TV|Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Satisfactory Rating|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Very Good Rating|Minigolf|Business Hotel|Shower|Cot|Hairdryer|Beach|From 3 Stars|Good Rating|Family Friendly|Desk|WiFi (Public Areas)|Openable Windows|Free WiFi (Combined)|Boat Rental|Gay-friendly|From 2 Stars|Bowling|3 Star|Free WiFi (Rooms)|Non-Smoking Rooms|Car Park|Safe (Rooms)|Flatscreen TV|Singles|Computer with Internet|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Central Heating
5910,Satellite TV|Sailing|Cosmetic Mirror|Telephone|Hotel|Cable TV|Hotel Bar|Bathtub|Satisfactory Rating|Room Service|Luxury Hotel|Terrace (Hotel)|Television|Business Hotel|Shower|From 3 Stars|Good Rating|Radio|4 Star|From 4 Stars|Family Friendly|Tennis Court (Indoor)|WiFi (Public Areas)|Openable Windows|Restaurant|Laundry Service|Free WiFi (Combined)|Tennis Court|From 2 Stars|Solarium|Conference Rooms|Bike Rental|Non-Smoking Rooms|Car Park|Concierge|Safe (Rooms)|Computer with Internet|Pet Friendly|Free WiFi (Public Areas)|Lift|Central Heating
6066,Satellite TV|Sailing|Diving|Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Sitting Area (Rooms)|Reception (24/7)|Wheelchair Accessible|Hypoallergenic Rooms|Cable TV|Massage|Hotel Bar|Pool Table|Bathtub|Satisfactory Rating|Room Service|Luxury Hotel|Terrace (Hotel)|Towels|Television|Business Hotel|Shower|Steam Room|Spa Hotel|Swimming Pool (Outdoor)|Cot|Gym|Hairdryer|Beach|Hypoallergenic Bedding|Beauty Salon|Accessible Parking|From 3 Stars|Convention Hotel|Good Rating|Radio|4 Star|From 4 Stars|Table Tennis|Family Friendly|Desk|Tennis Court (Indoor)|Balcony|WiFi (Public Areas)|Surfing|Hot Stone Massage|Openable Windows|Spa (Wellness Facility)|Restaurant|Laundry Service|Ironing Board|Free WiFi (Combined)|Tennis Court|Romantic|Boat Rental|From 2 Stars|Business Centre|Solarium|Bowling|Conference Rooms|Sauna|Hammam|Accessible Hotel|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Playground|Car Park|Safe (Rooms)|Fitness|Swimming Pool (Indoor)|Jacuzzi (Hotel)|Flatscreen TV|Honeymoon|Body Treatments|Computer with Internet|Pet Friendly|Volleyball|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Central Heating
6094,Satellite TV|Sailing|Safe (Hotel)|Telephone|Hotel|Hotel Bar|Bathtub|Satisfactory Rating|Luxury Hotel|Television|Minigolf|Business Hotel|Shower|Hairdryer|Good Rating|Radio|Desk|Tennis Court (Indoor)|WiFi (Public Areas)|Horse Riding|Openable Windows|Laundry Service|Tennis Court|3 Star|Non-Smoking Rooms|Car Park|Safe (Rooms)|Computer with Internet|WiFi (Rooms)|Central Heating
6288,Satellite TV|Airport Shuttle|Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Sitting Area (Rooms)|Hotel Bar|Satisfactory Rating|Room Service|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Very Good Rating|Television|Minigolf|Business Hotel|Shower|Cot|Hairdryer|From 3 Stars|Good Rating|Radio|Family Friendly|Desk|Tennis Court (Indoor)|WiFi (Public Areas)|Openable Windows|Express Check-In / Check-Out|Spa (Wellness Facility)|Laundry Service|Ironing Board|Free WiFi (Combined)|Tennis Court|Boat Rental|Gay-friendly|From 2 Stars|Bowling|Conference Rooms|3 Star|Sauna|Porter|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Car Park|Safe (Rooms)|Computer with Internet|Pet Friendly|WiFi (Rooms)|Free WiFi (Public Areas)|Central Heating
6358,Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Convenience Store|Sitting Area (Rooms)|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Massage|Hotel Bar|Pool Table|Bathtub|Satisfactory Rating|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Very Good Rating|Television|Business Hotel|Shower|Cot|Gym|Hairdryer|From 3 Stars|Convention Hotel|Good Rating|4 Star|From 4 Stars|Deck Chairs|Family Friendly|Desk|WiFi (Public Areas)|Openable Windows|Express Check-In / Check-Out|Restaurant|Laundry Service|Ironing Board|Free WiFi (Combined)|Gay-friendly|From 2 Stars|Business Centre|Solarium|Bowling|Conference Rooms|Sauna|Electric Kettle|Accessible Hotel|Bike Rental|Self Catering|Free WiFi (Rooms)|Non-Smoking Rooms|Car Park|Safe (Rooms)|Fitness|Flatscreen TV|Computer with Internet|Pet Friendly|Fridge|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Central Heating
6456,Satellite TV|Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Air Conditioning|Hypoallergenic Rooms|Cable TV|Bathtub|Satisfactory Rating|Hiking Trail|Luxury Hotel|Television|Business Hotel|Shower|Cot|Hairdryer|Hypoallergenic Bedding|From 3 Stars|Convention Hotel|Good Rating|4 Star|From 4 Stars|Family Friendly|Desk|WiFi (Public Areas)|Openable Windows|Express Check-In / Check-Out|Restaurant|Design Hotel|Laundry Service|Free WiFi (Combined)|Gay-friendly|From 2 Stars|Business Centre|Conference Rooms|Porter|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Car Park|Concierge|Safe (Rooms)|Fitness|Honeymoon|Singles|Childcare|Computer with Internet|Pet Friendly|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Central Heating
6561,Satellite TV|Golf Course|Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Hotel Bar|Bathtub|Satisfactory Rating|Room Service|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Very Good Rating|Business Hotel|Shower|Cot|Gym|Hairdryer|From 3 Stars|Convention Hotel|Good Rating|Radio|4 Star|From 4 Stars|Family Friendly|Desk|Tennis Court (Indoor)|WiFi (Public Areas)|Openable Windows|Express Check-In / Check-Out|Spa (Wellness Facility)|Restaurant|Laundry Service|Tennis Court|Boat Rental|From 2 Stars|Conference Rooms|Electric Kettle|Bike Rental|Non-Smoking Rooms|Car Park|Jacuzzi (Hotel)|Flatscreen TV|Computer with Internet|Pet Friendly|WiFi (Rooms)|Lift|Central Heating
