,Unnamed: 0,session_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,000066611146f,5479306,97126,2195126,4163966,8415348,7829686,1376726,4211758,37678,94458,9128,1921725,94452,9120,4114490,2676328,37687,94446,12975,94901,94427,13005,486271,94457,2023471
1,1,0008e0d108065,2381174,12669,1771417,3897534,1503835,7161302,9152902,1649309,118777,149123,18380,5171078,5789532,926625,4701148,18372,46811,48138,18388,1840085,83066,630306,2208824,1493199,1113973
2,2,000fd9ef5094d,1887781,660246,657446,886313,626841,1290081,969395,2500430,7831618,48947,942399,2566051,4958184,50260,4339938,9230660,157555,796791,48987,3368393,993271,1179424,2707088,3986130,531706
3,3,001373bf276d0,5001,148486,52929,118269,141434,3205890,5003,1073250,432041,51971,28360,2296490,1316853,3461996,52930,5004,4710912,411471,27466,5002,1554127,1205656,14915,28367,926057
4,4,0017184a401f2,5595902,915919,1961297,1649725,1448757,80784,9789150,1491731,1269758,2421228,958747,6176952,2590152,3212020,3797928,1951935,5877492,567876,439196,1802665,3980206,4089640,7339680,4651408,9005152
5,5,0017e5d8981f2,2230104,1020261,1020271,1739057,5088506,3863218,1020269,1020265,1625429,2362600,500016,2420974,1630303,2023813,2217024,9766788,1061542,6341764,,,,,,,
6,6,00190f0e4c5b1,5194848,1138998,3143975,3148674,2101598,1885339,5071616,5038650,2838782,1276935,2647760,3149383,2049111,2882029,2269480,2570554,2293070,4768340,2815624,1652347,4995416,3178963,1934025,3486942,3760538
7,7,001f9bd1ff28c,2777058,1041088,952973,1371384,2063644,3220104,4591938,2019245,6665840,6100014,1064382,5880472,6399934,10194288,9407242,,,,,,,,,,
8,8,0020a6e6d083c,2212472,3810902,1851073,8748012,997591,997621,1358678,2297102,2032291,2641814,1099964,2036851,5452706,6861464,6454130,9789432,1951777,1755329,1983615,694291,1099972,5849954,9184454,1788761,3835812
9,9,00267d001525e,1726699,348651,959613,2154424,2285202,349391,9250744,937099,872181,2844050,6272170,2637187,43181,5043316,972823,3135354,42850,2027883,2246816,42957,977843,42390,5086548,42647,349366
10,10,0026b72865d06,14610,14747,48937,82434,149798,894389,11897,90262,83075,14086,50449,3451778,49760,82358,99759,12270,11947,1693297,149848,12129,,,,,
11,11,0028642e0ea22,1817033,646051,3184792,85620,103703,84214,2837086,2777660,1637527,2798032,148039,7382358,2824771,84343,1002521,108519,5738578,5904674,6787190,1311328,4672864,3918778,6794704,4093522,3072320
12,12,0029dd904a339,8845,8652,8665,4916380,8750,8816,8812,8837,102148,3182793,8809,8766,8648,8707,8985292,8688,8722,62376,8825,8782,8747,8753,8691,8769,8640
13,13,00307b68b9e1b,14006,43313,3126230,87369,87370,9241896,2233546,83819,14016,9228690,13832,9748188,6689348,43308,87367,43298,8263194,7931420,2248958,7997830,43310,116563,87327,43294,43296
14,14,0036ba509059b,976083,101767,105611,106619,8254160,9045774,1234261,97934,5017670,95655,2263222,1223044,2745960,92745,926977,976051,106751,106324,1269724,2016547,5013972,108609,903641,3503850,101766
15,15,003984cbe4a1d,2454150,2156626,2033787,2675380,5408817,4448494,3243076,2795887,2681450,2828644,6630646,8420058,9868814,,,,,,,,,,,,
16,16,003a2af567b4e,149631,149626,2552723,19370,342701,19368,47389,1840029,46577,19379,5886202,137236,3801708,48055,149628,46276,46899,149632,149629,46329,5967326,46611,7930186,19372,149633
17,17,003af71b65371,3493644,6235440,1104184,165124,1185474,183266,517571,2123814,1216944,1816671,164405,5970378,185301,9203484,5053350,1709137,1049864,8994592,2813780,3819666,183276,1544745,1153358,5110730,7337036
18,18,00408fc89c60a,1056384,106412,1656477,2392526,2684345,5050254,6333948,1656947,1755595,1859237,2031715,2046739,2232290,2319566,2484499,2501242,2517706,2519158,2552898,2558980,2673286,2673704,2682060,2744422,
19,19,004443e322c24,74198,371596,60331,75735,68481,68720,72748,61938,68021,1210998,2394630,5705190,3556016,79309,1109057,58448,1572775,1083058,76925,65661,4685674,59319,62089,71298,3136823
20,20,0047eb9b93b72,1111190,6554246,52360,50934,14294,6354,4405552,53251,53104,1445065,7934150,53038,148277,148268,6365,6395,6355,9157664,13541,6388,4175916,5486108,148280,3147226,6391
21,21,0048ce44aba8e,14883,1380647,124931,86378,921937,17641,53122,914483,4584836,1244984,119869,2816572,6685884,6699516,,,,,,,,,,,
22,22,005087cbed728,1046396,1253427,8117756,2508042,2642834,6539262,2047323,2197274,2579531,1750461,6377764,9847954,2156028,2384032,6696264,2422793,1172537,5157992,8455344,1886927,2776156,2790399,3986682,5724138,7276740
23,23,005306f51ba54,162250,5195216,95489,38663,38654,6622998,38656,6107966,7194928,1412978,1270313,1417278,48198,8174496,4483498,1233877,5797936,1961323,5880252,683526,8195666,906829,1429258,6259950,
24,24,00542d598a3d1,664876,382131,3148640,490371,1000651,942751,2890800,4231008,2025563,6321996,2471810,1206712,4392834,103384,5755412,2730412,2326848,3894978,2033051,1999533,3746662,8101982,2258380,2180964,5129210
25,25,0056e0931af59,477811,104668,950829,104972,104873,164667,104716,129721,2653226,104896,1152741,950839,1447647,3133074,4521140,478116,4053900,4138594,104879,129720,1990735,522071,106938,2982790,948401
26,26,005d328466fdf,2102118,103636,1041704,2731166,1198938,8790268,1105678,3828800,1010871,8918312,2728526,1198944,2342166,1182340,1575567,1010901,106173,4773310,1277214,1010879,978277,1182462,1389542,1028312,1348991
27,27,0075a3596c472,8761778,3067476,2809028,5003442,8810482,6738430,5476998,2816082,3997902,9230390,4988662,5468558,4101054,4743446,8334762,4010712,4127804,4109720,9030252,3995658,9495238,1811685,6763904,3219584,9330546
28,28,00774993d0a46,9187802,473936,104127,3131932,104202,444211,104203,1328586,1500287,104128,104148,361236,97783,104104,104132,104136,104150,104159,104168,114596,1217442,3181888,2901350,474311,2157778
29,29,007825fff0a18,120766,2885805,4382178,,,,,,,,,,,,,,,,,,,,,,
30,30,0080d56b0dc9b,9954912,3819726,2215988,2215996,4559038,7368298,950077,10595834,1132947,1011755,10511700,10596236,3184718,4286490,10610350,5517964,104222,8847138,8779620,5879914,2662326,10600692,9702122,3404654,5156714
