user_id,session_id,timestamp,step,action_type,reference,platform,city,device,current_filters,impressions,prices
U6RI8HLRIGDC,5dc96b3831516,1541499064,6,filter selection,Sort by Price,AU,"Coffs Harbour, Australia",mobile,Sort by Price,,
KPX38Q16UO7C,a34dbfed0fb53,1541101019,39,interaction item image,12920,DE,"Münster, Germany",desktop,,,
5S4UPCX1F6D0,1227dbf902466,1541156362,10,interaction item image,10147946,AU,"Geelong, Australia",mobile,,,
PCTM9G0AQWFX,4e6a94258256b,1541400579,1,clickout item,4002454,BG,"Varshec, Bulgaria",tablet,,1411700|2983456|1739921|1331184|1411726|3045172|4002454|2679526|7801522|3044528|1473217|7276356|4815854|2528048|7142618|6172822,55|20|19|30|20|24|25|26|14|24|33|39|20|19|27|9
X692DV7WVZN3,40342a6d61c02,1541204029,110,interaction item image,56179,US,"Miami, USA",desktop,,,
NXO4R6NPP993,e08e6094a37a7,1541162129,1,search for destination,"Tel Aviv-Yafo, Israel",IL,"Tel Aviv-Yafo, Israel",mobile,,,
BHPGWQE158W2,515dec3d282d8,1541143892,2,search for item,6735330,MY,"Kuala Lumpur, Malaysia",mobile,,,
2UH29FMBEGAR,ca2e0cf25a9b6,1541345037,16,interaction item image,5195428,CA,"Munich, Germany",desktop,,,
AQD4NCQTZUFS,50b2916d59aae,1541545433,70,interaction item image,8894,UK,"Dubai, United Arab Emirates",tablet,,,
H0TJL8YO2IFU,ac61bf7f24780,1541534653,77,interaction item image,12594,UK,"Manchester, United Kingdom",mobile,,,
D9JKESIRBYU7,e72b4d4cbe00b,1541404781,20,interaction item image,8837,NZ,"New York, USA",mobile,,,
P54SYKTTVQL4,1dc52af7cb706,1541061072,48,interaction item image,496141,MY,"Port Dickson, Malaysia",mobile,,,
RN9ZFVBVDTVU,6c5ec83c2fd8c,1541509993,2,interaction item deals,984373,JP,"Toyota, Japan",mobile,,,
MZK9HIH525UZ,bd0e0a7d12c97,1541344079,73,interaction item image,10652422,AR,"Cancun, Mexico",desktop,,,
J36SF5INJQ36,1f2dd609f8490,1541260980,2,search for item,567451,US,"Miami Beach, USA",mobile,,,
5M658PU28N13,531351eb50704,1541384327,10,interaction item rating,2734964,MX,"Cozumel, Mexico",mobile,,,
U79FYAWXROTV,9c7f3963eb73d,1541097488,162,interaction item image,8236884,DK,"London, United Kingdom",desktop,,,
IS34FKOJVX8I,b000bc5b07586,1541547337,105,interaction item deals,1087946,AR,"Mar del Plata, Argentina",mobile,,,
UWT6STEFS5GZ,c53797161b679,1541505686,68,interaction item image,15272,UK,"Abu Dhabi, United Arab Emirates",desktop,,,
32YJ1MMC4W8H,b7fe56e0a6a84,1541142587,77,interaction item image,99165,FI,"Tallinn, Estonia",mobile,,,
X6GTC7EC17PK,5d86cc73c4f2b,1541436360,21,clickout item,350111,PE,"Paracas, Peru",desktop,,1411188|1321554|350111|3245075|1390360|3184527|4486578|10494718|866421|6762218|2829880|3244263|3244265|4882276|5152754|2078984|4076126|4914910|1260452|2750590|4816498|9794860|10490792|9616634|7890200,121|210|214|175|166|66|83|29|48|18|29|45|15|12|24|15|22|32|23|18|18|16|19|14|14
SJLS1AGJ191G,2c4c5fa151501,1541359561,10,interaction item image,4454864,BR,"Olímpia, Brazil",mobile,,,
6A7MP8FJ82EX,3dfd1cc44ef97,1541036273,90,interaction item image,1352538,BR,"Gramado, Brazil",mobile,,,
N4SOIXEI6OZ5,dc2e588d38f7a,1541446551,3,interaction item image,10089788,GR,"Vytina, Greece",mobile,,,
2WM21THMDT7J,5550489755cb2,1541498497,97,interaction item image,1941523,TR,"Ağva, Turkey",mobile,,,
G8C3R8NQ181K,daf2f2a95005c,1541160997,13,interaction item image,3847842,BR,"Porto Seguro, Brazil",mobile,,,
8IO8ARV9K32B,b6f9c9527f0a8,1541145407,204,interaction item image,37626,SG,"Istanbul, Turkey",desktop,,,
D7F20W1BRO9W,7f7f2e8d9efdd,1541364761,1,search for destination,"Hof, Germany",DE,"Hof, Germany",desktop,,,
Y8Z770VLEB2W,b96077bdaf22c,1541381441,47,interaction item image,1695371,NZ,"Auckland, New Zealand",desktop,,,
BBPE3EVG8WZB,2ced5c2d38a0d,1541345871,15,interaction item image,105002,BR,"Rio de Janeiro, Brazil",mobile,,,
068R2ANK4FS7,87eef90082855,1541446566,40,interaction item image,1691977,IT,"Aci Castello, Italy",mobile,,,
O7M348KL3XL0,de992c865b79c,1541121108,2,interaction item image,34486,US,"Cozumel, Mexico",mobile,,,
MHTGT66352M3,b4aa8618a5824,1541255635,47,interaction item image,5055970,DE,"Antalya, Turkey",mobile,,,
D840NGB9RVAE,12b9b0c2283a9,1541070205,127,interaction item image,3372342,IL,"Istanbul, Turkey",desktop,,,
UCMTVG00AAB5,d9ed95c8228c3,1541292677,70,interaction item image,2031789,AR,"San Rafael, Argentina",mobile,,,
4F3J6FC71EWU,e5256ad85f313,1541355733,3,interaction item image,3987804,BR,"Pomerode, Brazil",mobile,,,
WWPDQ14HI50L,d9f68538ee024,1541508892,4,interaction item image,522071,BR,"Brasília, Brazil",mobile,,,
1Q6UCO8EP7A7,8771c4deb4c63,1541342784,2,search for item,1289300,PL,"Slupsk, Poland",mobile,,,
169C7LFCAJZM,8e0deccb044a2,1541439983,1,interaction item image,1707285,BR,"Paraty, Brazil",desktop,,,
U28KQ04IC21C,5a8fb342db663,1541389225,88,interaction item image,1892565,MX,"Reykjavík, Iceland",desktop,,,
4CCVDSZ266PF,6f2cd0b3d7e66,1541210976,58,interaction item image,104791,AR,"Fortaleza, Brazil",tablet,,,
ZH2Z94SQILIP,3dd53c9630cd7,1541245412,4,change of sort order,price only,UK,"Paignton, United Kingdom",tablet,,,
JRFGE2Y7VBAD,758cf44f1c540,1541348624,59,interaction item image,5080078,MX,"Orlando, USA",desktop,,,
XAP1Z5V1S4L4,25788635493ae,1541060115,4,filter selection,Sort by Price,UK,"Edinburgh, United Kingdom",mobile,Sort by Price,,
A588YN9RLALR,9e755479999a4,1541457718,87,interaction item image,378416,BR,"Curitiba, Brazil",desktop,,,
P43SZBPYM27O,69dbffe7d9c6a,1541494619,6,clickout item,40535,IE,"Barcelona, Spain",mobile,,40535|2766212|5816692|7815266|1418914|3974076|483816|40715|40796|40795|40038|107688|40018|1771561|3812812|6839|675946|2458002|1336638|1710135|1769125|3900138|915331|1086054|2548744,66|58|70|58|52|59|68|74|70|71|60|62|75|75|66|74|74|56|70|53|58|73|41|59|71
VM52A5HF9877,7f56f210f0836,1541418987,31,interaction item image,6868818,DE,"Hamburg, Germany",tablet,,,
XCU9HXEBAS0P,b6789d93bfaa7,1541463965,10,interaction item image,1216512,AU,"Kata Beach, Thailand",desktop,,,
1J2702E4X252,8a092f50de325,1541252556,2,change of sort order,interaction sort button,BR,"Gramado, Brazil",desktop,,,
IGOBHQN8E4TO,fab56a4dd39f6,1541384969,39,interaction item image,2326194,BR,"Maceió, Brazil",mobile,,,
